id,displayName,description,category,eatable,canBeBurned,burningTime,tradingSellValue,tradingBuyValue,iconName,
[Crafting] Coal,Coal,"Efficient fuel.",Fuel & Exploration,False,True,40,3.5,6,Icon_Resource_Coal,
[Crafting] Dye,Dye,"Used for crafting.",Crafting Resources,False,False,0,1.14,1.9,Icon_Resource_Pigment,
[Crafting] Flour,Flour,"Used for cooking.",Crafting Resources,False,False,0,1.8,3,Icon_Resource_Flour,
[Crafting] Oil,Oil,"Efficient fuel.",Fuel & Exploration,False,True,25,1.8,3,Icon_Resource_Oil,
[Crafting] Salt,Salt,"A valuable and highly absorbent mineral.",Crafting Resources,False,False,0,2.25,4.5,Icon_Resource_Salt,
[Crafting] Sea Marrow,Sea Marrow,"Efficient fuel.",Fuel & Exploration,False,True,40,3.75,6.25,Icon_Resource_SeaMarrow,
[Food Processed] Biscuits,Biscuits,"Tasty and crunchy. Liked by: Humans, Beavers. Villagers with a satisfied need for biscuits have an increased chance of producing double yields.",Food,True,False,0,2.3,4.6,Icon_Resource_Biscuits,
[Food Processed] Jerky,Jerky,"Preserved, dried meat. Liked by: Lizards, Harpies. Villagers with a satisfied need for jerky have an increased chance of producing double yields.",Food,True,False,0,1.7,3.4,Icon_Resource_Jerky,
[Food Processed] Paste,Paste,"A smooth paste, no chewing required. Liked by: Harpies, Frogs. Villagers with a satisfied need for paste have an increased chance of producing double yields.",Food,True,False,0,1.75,3.5,Icon_Resource_Paste_1,
[Food Processed] Pickled Goods,Pickled Goods,"A Beaver specialty. Liked by: Beavers, Lizards, Foxes. Villagers with a satisfied need for pickled goods have an increased chance of producing double yields.",Food,True,False,0,2,4,Icon_Resource_PickledGoods,
[Food Processed] Pie,Pie,"A savory delicacy. Liked by: Humans, Lizards, Frogs. Villagers with a satisfied need for pie have an increased chance of producing double yields.",Food,True,False,0,2.1,4.2,Icon_Resource_Pie,
[Food Processed] Porridge,Porridge,"A nutritious and warming meal. Liked by: Humans, Foxes, Frogs. Villagers with a satisfied need for porridge have an increased chance of producing double yields.",Food,True,False,0,1.9,3.8,Icon_Resource_Porridge,
[Food Processed] Skewers,Skewers,"A Lizard specialty. Liked by: Lizards, Foxes. Villagers with a satisfied need for skewers have an increased chance of producing double yields.",Food,True,False,0,2,4,Icon_Resource_Skewers,
[Food Raw] Berries,Berries,"Common food source.",Food,True,False,0,2.25,4.5,Icon_Resource_Berries,
[Food Raw] Eggs,Eggs,"Common food source.",Food,True,False,0,2.25,4.5,Icon_Resource_Eggs,
[Food Raw] Fish,Fish,"Plenty of them in the sea. A common food source.",Food,True,False,0,2.25,4.5,Icon_Resource_Fish_1,
[Food Raw] Grain,Grain,"Isn't eaten raw, but can be processed.",Crafting Resources,False,False,0,2.25,4.5,Icon_Resource_Grain,
[Food Raw] Herbs,Herbs,"Isn't eaten raw, but can be processed.",Crafting Resources,False,False,0,2.25,4.5,Icon_Resource_Herbs,
[Food Raw] Insects,Insects,"Common food source.",Food,True,False,0,2.25,4.5,Icon_Resource_Insects,
[Food Raw] Meat,Meat,"Common food source.",Food,True,False,0,2.25,4.5,Icon_Resource_Meat,
[Food Raw] Mushrooms,Mushrooms,"Common food source.",Food,True,False,0,2.25,4.5,Icon_Resource_Mushrooms,
[Food Raw] Roots,Roots,"Common food source.",Food,True,False,0,2.25,4.5,Icon_Resource_Roots,
[Food Raw] Vegetables,Vegetables,"Common food source.",Food,True,False,0,2.25,4.5,Icon_Resource_Vegetables,
[Mat Processed] Bricks,Bricks,"Mostly used for construction.",Building Materials,False,False,0,3.3,5.5,Icon_Resource_Bricks,
[Mat Processed] Fabric,Fabric,"Used for construction or production of clothes.",Building Materials,False,False,0,3.3,5.5,Icon_Resource_Fabric,
[Mat Processed] Parts,Parts,Rare items used for construction. Difficult to produce in this harsh environment.,Building Materials,False,False,0,28.8,48,Icon_Resource_Parts,
[Mat Processed] Pipe,Pipes,"Used to install Rainpunk Engines in production buildings and build Geyser Pumps.",Building Materials,False,False,0,7,12,Icon_Resource_Pipes,
[Mat Processed] Planks,Planks,"Mostly used for construction.",Building Materials,False,False,0,2.1,3.5,Icon_Resource_Planks,
[Mat Raw] Algae,Algae,"Slimy, tough fibers fished from murky waters. Used for crafting.",Crafting Resources,False,False,0,1.8,3,Icon_Resource_Algae_1,
[Mat Raw] Clay,Clay,"Flesh of the earth. Used mostly for crafting.",Crafting Resources,False,False,0,1.8,3,Icon_Resource_Clay,
[Mat Raw] Leather,Leather,"Used for crafting.",Crafting Resources,False,False,0,1.8,3,Icon_Resource_Leather,
[Mat Raw] Plant Fibre,Plant Fiber,"Used for crafting.",Crafting Resources,False,False,0,1.8,3,Icon_Resource_PlantFiber,
[Mat Raw] Reeds,Reed,"Used for crafting.",Crafting Resources,False,False,0,1.8,3,Icon_Resource_Reeds,
[Mat Raw] Resin,Resin,"Used for crafting.",Crafting Resources,False,False,0,1.8,3,Icon_Resource_Resin,
[Mat Raw] Scales,Scales,"Durable fish skin, richly infused with copper. Used for crafting.",Crafting Resources,False,False,0,1.8,3,Icon_Resource_Scales_1,
[Mat Raw] Stone,Stone,"Bones of the earth. Used mostly for crafting.",Crafting Resources,False,False,0,1.8,3,Icon_Resource_Stone,
[Mat Raw] Wood,Wood,"An abundant, yet crucial resource.",Fuel & Exploration,False,True,12,0.75,1.25,Icon_Resource_Wood,
[Metal] Copper Bar,Copper Bars,"Refined copper ore, used for crafting.",Crafting Resources,False,False,0,7.2,12,Icon_Resource_CopperBar,
[Metal] Copper Ore,Copper Ore,"A soft and malleable metal.",Crafting Resources,False,False,0,1.8,3,Icon_Resource_CopperOre,
[Metal] Crystalized Dew,Crystalized Dew,"Crystalized rain essence.",Crafting Resources,False,False,0,7.2,12,Icon_Resource_CrystalizedDew,
[Needs] Ale,Ale,"Used for leisure at: Tavern, Monastery, Market, by Humans, Beavers. Villagers with a satisfied need for leisure have a higher chance of producing double yields.",Consumable Items,False,False,0,1.95,3.25,Icon_Resource_Ale,
[Needs] Boots,Boots,"Sturdy and waterproof. Used as clothing by: Lizards, Harpies, Foxes, Frogs. Grants a movement speed bonus to villagers wearing them.",Consumable Items,False,False,0,0.9,1.5,Icon_Resource_Boots_1,
[Needs] Coats,Coats,"Reliable protection from the rain. Used as clothing by: Humans, Beavers, Harpies. Grants an additional Resolve bonus during the storm.",Consumable Items,False,False,0,2.1,3.5,Icon_Resource_Coats,
[Needs] Incense,Incense,"Used for religion at: Temple, Monastery, Tea Doctor, by Humans, Foxes, Frogs. Villagers with a satisfied need for religion have a higher chance of producing double yields.",Consumable Items,False,False,0,2.1,3.5,Icon_Resource_Incense,
[Needs] Scrolls,Scrolls,"Used for education at: Temple, Holy Guild House, Guild House, Explorers' Lodge, by: Beavers, Harpies. Villagers with a satisfied need for education have a higher chance of producing double yields.",Consumable Items,False,False,0,1.44,2.4,Icon_Resource_Scrolls,
[Needs] Tea,Tea,"Used for treatment at: Market, Tea Doctor, Bath House, by: Harpies, Foxes. Villagers with a satisfied need for treatment have a higher chance of producing double yields.",Consumable Items,False,False,0,1.8,3,Icon_Resource_Tea,
[Needs] Training Gear,Training Gear,"Used for brawling at: Clan Hall, Forum, Explorers' Lodge, by: Lizards, Frogs. Villagers with a satisfied need for brawling have a higher chance of producing double yields.",Consumable Items,False,False,0,2.55,4.25,Icon_Resource_TrainingGear,
[Needs] Wine,Wine,"Used for luxury at: Tavern, Holy Guild House, Forum, Guild House, by: Beavers, Frogs. Villagers with a satisfied need for luxury have a higher chance of producing double yields.",Consumable Items,False,False,0,1.5,2.5,Icon_Resource_Wine,
[Other] Fishing Bait,Ground Bait,Bait made from Packs of Crops. Used in fishing huts to double fishing yields.,Trade Goods,False,False,0,3,5,Icon_Resource_GroundBait,
[Packs] Pack of Building Materials,Pack of Building Materials,"Building materials packaged for delivery, used to fulfill orders, upgrade buildings, and trade.",Trade Goods,False,False,0,12,20,Icon_Resource_BuildingMaterials,
[Packs] Pack of Crops,Pack of Crops,"Crops packaged for delivery, used to fulfill orders and trade.",Trade Goods,False,False,0,12,20,Icon_Resource_Crops,
[Packs] Pack of Luxury Goods,Pack of Luxury Goods,"Goods highly sought after by traders. Can be used to fulfill orders, or sold for a large profit.",Trade Goods,False,False,0,18,30,Icon_Resource_Luxury,
[Packs] Pack of Provisions,Pack of Provisions,"Provisions necessary for sending caravans into the wild. Used to fulfill orders, trade, and pay for trade routes.",Trade Goods,False,False,0,6,10,Icon_Resource_Provisions,
[Packs] Pack of Trade Goods,Pack of Trade Goods,"Goods highly sought after by traders. Can be used to fulfill orders, or sold for a large profit.",Trade Goods,False,False,0,18,30,Icon_Resource_TradeGoods,
