id,displayName,description,iconName,source,rarity,price,
Paper +2,Advanced Press,"+2 to <sprite name=""[needs] scrolls""> Scrolls production. Gain additional <sprite name=""[needs] scrolls""> Scrolls every yield (from gathering, farming, or production).",Icon_Resource_Scrolls,"Trader, Order",Uncommon,220,
Sea Marrow +1,Fossil Leaching,"+1 to <sprite name=""[crafting] sea marrow""> Sea Marrow production. Gain additional <sprite name=""[crafting] sea marrow""> Sea Marrow every yield (from gathering, farming, or production).",Icon_Resource_SeaMarrow,"Trader, Relic",Rare,290,
Incense +2,Vessel of Incense,"+2 to <sprite name=""[needs] incense""> Incense production. Gain additional <sprite name=""[needs] incense""> Incense every yield (from gathering, farming, or production).",Icon_Resource_Incense,"Trader, Order, Relic",Uncommon,120,
Hostility Lower 50,Ways of the Forest,"A book by the renowned Stormwalker, Pervun Runebeak. Lowers Hostility by 50 points.",ScrollsAndBooks_add_008_b,"Trader, Order, Relic",Epic,260,
Impatience For Glade,Badge of Courage,A famous Viceroy emblem passed down from generation to generation. Discovering a glade during the storm lowers Impatience by -0.5.,TrophyIcons_111_b,Trader,Epic,280,
Cornerstone Reroll - Trader,Lucky Charm,A strange talisman made from an extremely rare gemstone - blue Amber. Grants 1 additional cornerstone reroll charge.,WitchCraftIcons_106_b,Trader,Rare,200,
Hostility for Death,Small Altar Box,The forest requires sacrifices. Gain a ‑15 reduction in Hostility every time 2 villagers die.,folder_b,Trader,Epic,280,
Event Time Reduction 10,Lucky Talisman,A necklace made out of tiny bones. Scouts work 10% faster on Glade Events.,teeth_b_01,Trader,Uncommon,140,
Hauler +5,Safety Ropes,A set of strong ropes to secure any shipment. Haulers can carry 5 more goods at once.,TradingIcons_139_b,"Trader, Relic",Rare,200,
Oil +1,Heavy Press,"+1 to <sprite name=""[crafting] oil""> Oil production. Gain additional <sprite name=""[crafting] oil""> Oil every yield (from gathering, farming, or production).",Icon_Resource_Oil,Trader,Uncommon,140,
Tea +2,Tea Infuser,"+2 to <sprite name=""[needs] tea""> Tea production. Gain additional <sprite name=""[needs] tea""> Tea every yield (from gathering, farming, or production).",Icon_Resource_Tea,"Trader, Order, Relic",Uncommon,180,
Crystalized Dew +1,Crystal Growth,"+1 to <sprite name=""[metal] crystalized dew""> Crystalized Dew production. Gain additional <sprite name=""[metal] crystalized dew""> Crystalized Dew every yield (from gathering, farming, or production).",Icon_Resource_CrystalizedDew,"Trader, Order",Rare,260,
Tank Capacity - Trader,Makeshift Water Tank,Increases the tank capacity for every type of rainwater by 50.,en_craft_55,Trader,Rare,240,
Chest Working Time -30,Scout's Toolbox,Scouts can open chests 40% faster.,BagsAndBoxes_100,Trader,Uncommon,140,
Sacrifice Stack for Route,Firekeeper Letters,The exchange of knowledge between firekeepers can be very beneficial. The maximum number of sacrifice stacks in the Ancient Hearth is increased by +1 for every 2 ongoing trade routes.,ScrollsAndBooks_88,Trader,Epic,300,
Incense for Roots,Fragrant Roots,"Gain 3 <sprite name=""[needs] incense""> Incense for every 10 <sprite name=""[food raw] roots""> Roots produced.",SpellBookPage09_66,"Trader, Relic",Rare,240,
Hauler Speed,Specialized Workwear,Specialized equipment enhanced with rainpunk technology. Haulers move +25% faster.,ff_03_b,"Trader, Relic",Rare,200,
Clay +1,Steel Shovels,"+1 to <sprite name=""[mat raw] clay""> Clay production. Gain additional <sprite name=""[mat raw] clay""> Clay every yield (from gathering, farming, or production).",Icon_Resource_Clay,"Trader, Order, Relic",Rare,220,
Leather +1,Tanning Racks,"+1 to <sprite name=""[mat raw] leather""> Leather production. Gain additional <sprite name=""[mat raw] leather""> Leather every yield (from gathering, farming, or production).",Icon_Resource_Leather,"Trader, Order",Rare,160,
Porridge +2,Puffed Grain,"+2 to <sprite name=""[food processed] porridge""> Porridge production. Gain additional <sprite name=""[food processed] porridge""> Porridge every yield (from gathering, farming, or production).",Icon_Resource_Porridge,"Trader, Order",Uncommon,180,
Root for every glade,Grubbing Tools,"A set of tools designed for grubbing tree stumps. Gain 15 <sprite name=""[food raw] roots""> Roots every time you discover a new glade.",pirates_16,"Trader, Order, Relic",Rare,190,
Insect Traps,Insect Traps,"Insect traps let you catch any insects feeding on mushrooms. Gain 1 <sprite name=""[food raw] insects""> Insects for every 2 <sprite name=""[food raw] mushrooms""> Mushrooms produced.",BagsAndBoxes_98,"Trader, Relic",Rare,210,
Provisions for Glade,Gathering Tools,"Vital equipment when exploring the wilds. Gain 6 <sprite name=""[packs] pack of provisions""> Pack of Provisions every time you discover a new glade.",sickle_b_01,"Trader, Order",Rare,200,
Trader Interval +25,Trade Contract,Traders will arrive 25% quicker.,ScrollsAndBooks_23,"Trader, Order, Relic",Rare,180,
Blight Fighter Speed,The Sparkcaster,A more compact version of the famous Blight Fighter flamethrower. Blight Fighters move +25% quicker.,BlueLootBox_84_b,"Trader, Order, Relic",Rare,180,
Fiber for Vegetables,Pocket Knives,"Handy tools for cutting stems and leaves. Gain 4 <sprite name=""[mat raw] plant fibre""> Plant Fiber for every 12 <sprite name=""[food raw] vegetables""> Vegetables produced.",BlueLootBox_17_b,Trader,Rare,220,
Grain +1,Mold Supply,"+1 to <sprite name=""[food raw] grain""> Grain production. Gain additional <sprite name=""[food raw] grain""> Grain every yield (from gathering, farming, or production).",Icon_Resource_Grain,"Trader, Order",Rare,225,
Mushroom +1,Fungal Growth,"+1 to <sprite name=""[food raw] mushrooms""> Mushrooms production. Gain additional <sprite name=""[food raw] mushrooms""> Mushrooms every yield (from gathering, farming, or production).",Icon_Resource_Mushrooms,"Trader, Order, Relic",Rare,210,
FuelConsumption -25,Secret Techniques of the Firekeeper,An old manuscript detailing long-forgotten burning rites. Fuel burns 25% longer in Hearths.,ScrollsAndBooks_98,"Trader, Order, Relic",Rare,210,
Flour +2,Heavy Millstone,"+2 to <sprite name=""[crafting] flour""> Flour production. Gain additional <sprite name=""[crafting] flour""> Flour every yield (from gathering, farming, or production).",Icon_Resource_Flour,"Trader, Order, Relic",Uncommon,160,
Fabric +2,Reinforced Needles,"+2 to <sprite name=""[mat processed] fabric""> Fabric production. Gain additional <sprite name=""[mat processed] fabric""> Fabric every yield (from gathering, farming, or production).",Icon_Resource_Fabric,Trader,Rare,200,
Accidental Wine,Dual Brewing Tools,"A set of specialized alchemical tools. Gain 3 <sprite name=""[needs] wine""> Wine for every 15 <sprite name=""[needs] ale""> Ale produced.",tin_tube_b,"Trader, Relic",Rare,220,
VillagerSpeed10,Sturdy Boots,Villagers move 10% quicker.,8538_b,"Trader, Order, Relic",Epic,240,
Biscuit Recipes,Biscuit Recipes,"<sprite name=""[food processed] biscuits""> Biscuits (<sprite name=grade2>) can now be produced in the Kiln and Rain Mill.",ScrollsAndBooks_10,Trader,Rare,220,
Coats +2,Ancient Sewing Technique,"+2 to <sprite name=""[needs] coats""> Coats production. Gain additional <sprite name=""[needs] coats""> Coats every yield (from gathering, farming, or production).",Icon_Resource_Coats,"Trader, Order, Relic",Uncommon,180,
Coats +3,Ancient Sewing Technique,"+3 to <sprite name=""[needs] coats""> Coats production. Gain additional <sprite name=""[needs] coats""> Coats every yield (from gathering, farming, or production).",Icon_Resource_Coats,"Trader, Order, Relic",Rare,240,
NeedPerk Housing Resolve,Furniture,Some much needed furnishings. Adds an additional +1 to Resolve for villagers with a home. (This effect is applied to villagers during their break),en_craft_73,Trader,Rare,200,
Pottery for Glade,Archaeological Tools,"Glades are examined more carefully. Gain 20 <sprite name=""[vessel] pottery""> Pottery every time you discover a new glade.",Icon_Resource_Pottery,"Trader, Order, Relic",Epic,250,
Food Production Speed +20,Viceroy's Survival Guide,"A handy set of notes on how to survive in the wilderness, written by an anonymous viceroy. Increases global food production speed by 20%.",ScrollsAndBooks_94,"Trader, Order",Rare,200,
Packs Production Speed Boost 33,Quick Deliveries,All packs of goods are produced 33% faster.,engeniring_59_b,"Trader, Order",Rare,180,
Bigger Storage,Orderly Storage,All buildings have their storage capacity increased by 10.,8108_b,Trader,Uncommon,120,
Faster Woodcutters,Specialized Boots,Woodcutters move +20% faster.,boots_14,"Trader, Order",Rare,180,
Herbs +1,Sharp Sickles,"+1 to <sprite name=""[food raw] herbs""> Herbs production. Gain additional <sprite name=""[food raw] herbs""> Herbs every yield (from gathering, farming, or production).",Icon_Resource_Herbs,"Trader, Order",Rare,190,
Grain +2,Mold Supply,"+2 to <sprite name=""[food raw] grain""> Grain production. Gain additional <sprite name=""[food raw] grain""> Grain every yield (from gathering, farming, or production).",Icon_Resource_Grain,"Trader, Relic",Epic,250,
Farmer +5,Farmer's Pack,Any Farmer can carry 5 additional items.,BagsAndBoxes_10,"Trader, Order",Uncommon,160,
Plant Fibre +1,Rich in Fiber,"+1 to <sprite name=""[mat raw] plant fibre""> Plant Fiber production. Gain additional <sprite name=""[mat raw] plant fibre""> Plant Fiber every yield (from gathering, farming, or production).",Icon_Resource_PlantFiber,"Trader, Order",Rare,200,
Ale +2,Bigger Barrels,"+2 to <sprite name=""[needs] ale""> Ale production. Gain additional <sprite name=""[needs] ale""> Ale every yield (from gathering, farming, or production).",Icon_Resource_Ale,"Trader, Order, Relic",Uncommon,150,
PlantingRate +25,Seed Pouch,Planting crops is 25% faster.,BagsAndBoxes_19,"Trader, Order",Uncommon,120,
HarvestingRate +25,Obsidian Sickles,Harvesting crops is 25% faster.,staff_04_b,"Trader, Order, Relic",Uncommon,120,
Pottery +2,Rain-Powered Pottery Wheel,"+2 to <sprite name=""[vessel] pottery""> Pottery production. Gain additional <sprite name=""[vessel] pottery""> Pottery every yield (from gathering, farming, or production).",Icon_Resource_Pottery,"Trader, Order, Relic",Uncommon,144,
Trader Interval +15,Beneficial Agreement,Traders will arrive 15% quicker.,ScrollsAndBooks_60,"Trader, Order, Relic",Uncommon,140,
Copper Ore +1,Steel Drills,"+1 to <sprite name=""[metal] copper ore""> Copper Ore production. Gain additional <sprite name=""[metal] copper ore""> Copper Ore every yield (from gathering, farming, or production).",Icon_Resource_CopperOre,"Trader, Order, Relic",Rare,240,
Copper Tools +1,Advanced Smithing,"+1 to <sprite name=""[tools] simple tools""> Tools production. Gain additional <sprite name=""[tools] simple tools""> Tools every yield (from gathering, farming, or production).",Icon_Resource_SimpleTools,"Trader, Order",Epic,270,
Lumber Speed +15,Reinforced Axes,Woodcutting is a lot easier. Woodcutters' Camp production is 15% quicker.,axe_b_01,"Trader, Order, Relic",Uncommon,120,
Accidental Bricks,Repurposed Clay,"Nothing goes to waste. Gain 2 <sprite name=""[mat processed] bricks""> Bricks for every 10 <sprite name=""[vessel] pottery""> Pottery produced.",MiningIcons_38_b,Trader,Rare,200,
Copper and Wood for Chests,Salvaging Tools,"Caches discovered in glades can now be salvaged. Every time you open or send an Abandoned Cache to the Citadel, you gain 10 <sprite name=""[metal] copper ore""> Copper Ore and 30 <sprite name=""[mat raw] wood""> Wood.",tongs_b_01,"Trader, Relic",Rare,210,
Copper Bar +2,Advanced Smelting,"+2 to <sprite name=""[metal] copper bar""> Copper Bars production. Gain additional <sprite name=""[metal] copper bar""> Copper Bars every yield (from gathering, farming, or production).",Icon_Resource_CopperBar,"Trader, Order, Relic",Uncommon,170,
Accidental Crystalized Dew,Accumulated Dew,"Gain 2 <sprite name=""[metal] crystalized dew""> Crystalized Dew for every 10 <sprite name=""[food raw] berries""> Berries produced.",ice_stone_b,"Trader, Relic",Rare,230,
Stone +1,Steel Pickaxes,"+1 to <sprite name=""[mat raw] stone""> Stone production. Gain additional <sprite name=""[mat raw] stone""> Stone every yield (from gathering, farming, or production).",Icon_Resource_Stone,"Trader, Order, Relic",Rare,200,
0_10 On Roads,Shovels,Useful tools for creating drainage ditches. Villagers move 10% faster on roads.,ni_b_05,"Trader, Order, Relic",Uncommon,120,
