id,displayName,description,category,sizeX,sizeY,requiredGood1,requiredGood2,requiredGood3,constructionTime,cityScore,movable,initiallyEssential,storage,workplace1,workplace2,workplace3,workplace4,recipe1,recipe2,recipe3,recipe4,
Alchemist Hut,Alchemist's Hut,"Can produce:  <sprite name=[metal] crystalized dew> Crystalized Dew (<sprite name=grade2>), <sprite name=[needs] tea> Tea (<sprite name=grade2>), <sprite name=[needs] wine> Wine (<sprite name=grade2>). 
Can use: <sprite name=[water] clearance water> Clearance Water.",Industry,3,2,5 [Mat Processed] Planks,2 [Mat Processed] Bricks,,20,5,False,False,10,Any,Any,,,Crystalized Dew T2,[Needs Fullfilment] Tea T2,[Needs Fullfilment] Wine T2,,
Apothecary,Apothecary,"Can produce:  <sprite name=[needs] tea> Tea (<sprite name=grade2>), <sprite name=[food processed] porridge> Porridge (<sprite name=grade2>), <sprite name=[food processed] jerky> Jerky (<sprite name=grade2>). 
Can use: <sprite name=[water] drizzle water> Drizzle Water.",Food Production,2,2,5 [Mat Processed] Planks,2 [Mat Processed] Bricks,,20,5,False,False,10,Any,Any,,,[Needs Fullfilment] Tea T2,[Food Processed] Porridge T2,[Food Processed] Jerky T2,,
Artisan,Artisan,"Can produce:  <sprite name=[vessel] barrels> Barrels (<sprite name=grade2>), <sprite name=[needs] coats> Coats (<sprite name=grade2>), <sprite name=[needs] scrolls> Scrolls (<sprite name=grade2>). 
Can use: <sprite name=[water] clearance water> Clearance Water.",Industry,3,2,8 [Mat Processed] Planks,4 [Mat Processed] Fabric,,40,5,False,False,10,Any,Any,Any,,[Vessel] Barrels T2,[Needs Fullfilment] Coats T2,[Needs Fullfilment] Scrolls T2,,
Bakery,Bakery,"Can produce:  <sprite name=[food processed] biscuits> Biscuits (<sprite name=grade2>), <sprite name=[food processed] pie> Pie (<sprite name=grade2>), <sprite name=[vessel] pottery> Pottery (<sprite name=grade2>). 
Can use: <sprite name=[water] drizzle water> Drizzle Water.",Food Production,3,2,5 [Mat Processed] Planks,2 [Mat Processed] Fabric,,40,5,False,False,10,Any,Any,,,[Food Processed] Biscuits T2,[Food Processed] Pie T2,[Vessel] Pottery T2,,
Beanery,Beanery,"Can produce:  <sprite name=[food processed] porridge> Porridge (<sprite name=grade3>), <sprite name=[food processed] pickled goods> Pickled Goods (<sprite name=grade1>), <sprite name=[metal] crystalized dew> Crystalized Dew (<sprite name=grade1>). 
Can use: <sprite name=[water] drizzle water> Drizzle Water.",Food Production,3,2,8 [Mat Processed] Planks,4 [Mat Processed] Bricks,,50,5,False,False,10,Any,Any,Any,,[Food Processed] Porridge T3,[Food Processed] Pickled Goods T1,Crystalized Dew T1,,
Brewery,Brewery,"Can produce:  <sprite name=[needs] ale> Ale (<sprite name=grade3>), <sprite name=[food processed] porridge> Porridge (<sprite name=grade2>), <sprite name=[packs] pack of crops> Pack of Crops (<sprite name=grade1>). 
Can use: <sprite name=[water] drizzle water> Drizzle Water.",Industry,3,3,2 [Mat Processed] Planks,2 [Mat Processed] Bricks,2 [Mat Processed] Fabric,50,5,False,False,10,Any,Any,,,[Needs Fullfilment] Ale T3,[Food Processed] Porridge T2,Pack of Crops T1,,
Brick Oven,Brick Oven,"Can produce:  <sprite name=[food processed] biscuits> Biscuits (<sprite name=grade3>), <sprite name=[needs] incense> Incense (<sprite name=grade2>), <sprite name=[crafting] coal> Coal (<sprite name=grade1>). 
Can use: <sprite name=[water] clearance water> Clearance Water.",Industry,2,2,5 [Mat Processed] Bricks,,,40,5,False,False,10,Any,Any,Any,,[Food Processed] Biscuits T3,[Needs Fullfilment] Incense T2,Coal T1,,
Brickyard,Brickyard,"Can produce:  <sprite name=[mat processed] bricks> Bricks (<sprite name=grade3>), <sprite name=[vessel] pottery> Pottery (<sprite name=grade2>), <sprite name=[metal] crystalized dew> Crystalized Dew (<sprite name=grade1>). 
Can use: <sprite name=[water] storm water> Storm Water.",Industry,3,3,8 [Mat Processed] Planks,,,25,5,False,False,10,Any,Any,,,[Building Material] Bricks T3,[Vessel] Pottery T2,Crystalized Dew T1,,
Butcher,Butcher,"Can produce:  <sprite name=[food processed] skewers> Skewers (<sprite name=grade2>), <sprite name=[food processed] jerky> Jerky (<sprite name=grade2>), <sprite name=[crafting] oil> Oil (<sprite name=grade2>). 
Can use: <sprite name=[water] drizzle water> Drizzle Water.",Food Production,3,3,5 [Mat Processed] Planks,2 [Mat Processed] Bricks,,40,5,False,False,10,Any,Any,Any,,[Food Processed] Skewers T2,[Food Processed] Jerky T2,Oil T2,,
Cannery,Cannery,"Can produce:  <sprite name=[food processed] paste> Paste (<sprite name=grade3>), <sprite name=[needs] wine> Wine (<sprite name=grade2>), <sprite name=[food processed] biscuits> Biscuits (<sprite name=grade1>). 
Can use: <sprite name=[water] drizzle water> Drizzle Water.",Industry,3,2,2 [Mat Processed] Bricks,2 [Mat Processed] Fabric,,50,5,False,False,10,Any,Any,,,[Food Processed] Paste T3,[Needs Fullfilment] Wine T2,[Food Processed] Biscuits T1,,
Carpenter,Carpenter,"Can produce:  <sprite name=[mat processed] planks> Planks (<sprite name=grade2>), <sprite name=[tools] simple tools> Tools (<sprite name=grade2>), <sprite name=[packs] pack of luxury goods> Pack of Luxury Goods (<sprite name=grade2>). 
Can use: <sprite name=[water] storm water> Storm Water.",Industry,3,2,5 [Mat Processed] Planks,2 [Mat Processed] Fabric,,40,5,False,False,10,Any,Any,Any,,[Building Material] Planks T2,Tools Simple T2,Pack of Luxury Goods T2,,
Cellar,Cellar,"Can produce:  <sprite name=[needs] wine> Wine (<sprite name=grade3>), <sprite name=[food processed] pickled goods> Pickled Goods (<sprite name=grade2>), <sprite name=[packs] pack of provisions> Pack of Provisions (<sprite name=grade1>). 
Can use: <sprite name=[water] drizzle water> Drizzle Water.",Food Production,2,2,2 [Mat Processed] Bricks,2 [Mat Processed] Fabric,,50,5,False,False,10,Any,Any,,,[Needs Fullfilment] Wine T3,[Food Processed] Pickled Goods T2,Pack of Provisions T1,,
Clay Pit Workshop,Clay Pit,"Uses Clearance Water to produce goods regardless of the season. Must be placed on fertile soil. Can produce:  <sprite name=[mat raw] clay> Clay (<sprite name=grade2>), <sprite name=[mat raw] reeds> Reed (<sprite name=grade2>), <sprite name=[mat raw] resin> Resin (<sprite name=grade2>)",Resource Gathering,2,2,2 [Mat Processed] Planks,2 [Mat Processed] Fabric,,30,5,False,False,10,Any,Any,Any,,[Clay Pit] Clay T2,[Clay Pit] Reeds T2,[Clay Pit] Resin T2,,
Clothier,Clothier,"Can produce:  <sprite name=[needs] coats> Coats (<sprite name=grade3>), <sprite name=[packs] pack of building materials> Pack of Building Materials (<sprite name=grade2>), <sprite name=[vessel] waterskin> Waterskins (<sprite name=grade1>). 
Can use: <sprite name=[water] clearance water> Clearance Water.",Industry,3,2,5 [Mat Processed] Planks,2 [Mat Processed] Fabric,,20,5,False,False,10,Any,Any,,,[Needs Fullfilment] Coats T3,Pack of Building Materials T2,[Vessel] Waterskin T1,,
Cobbler,Cobbler,"Can produce:  <sprite name=[needs] boots> Boots (<sprite name=grade3>), <sprite name=[packs] pack of building materials> Pack of Building Materials (<sprite name=grade2>), <sprite name=[crafting] dye> Dye (<sprite name=grade1>). 
Can use: <sprite name=[water] clearance water> Clearance Water.",Industry,3,3,8 [Mat Processed] Planks,,,40,5,False,False,10,Any,Any,,,[Needs Fullfilment] Boots T3,Pack of Building Materials T2,Dye T1,,
Cookhouse,Cookhouse,"Can produce:  <sprite name=[food processed] skewers> Skewers (<sprite name=grade2>), <sprite name=[food processed] biscuits> Biscuits (<sprite name=grade2>), <sprite name=[crafting] dye> Dye (<sprite name=grade2>). 
Can use: <sprite name=[water] drizzle water> Drizzle Water.",Food Production,4,3,8 [Mat Processed] Planks,4 [Mat Processed] Bricks,,50,5,False,False,10,Any,Any,Any,Any,[Food Processed] Skewers T2,[Food Processed] Biscuits T2,Dye T2,,
Cooperage,Cooperage,"Can produce:  <sprite name=[vessel] barrels> Barrels (<sprite name=grade3>), <sprite name=[needs] coats> Coats (<sprite name=grade2>), <sprite name=[packs] pack of luxury goods> Pack of Luxury Goods (<sprite name=grade1>). 
Can use: <sprite name=[water] clearance water> Clearance Water.",Industry,3,2,5 [Mat Processed] Planks,2 [Mat Processed] Bricks,,40,5,False,False,10,Any,Any,,,[Vessel] Barrels T3,[Needs Fullfilment] Coats T2,Pack of Luxury Goods T1,,
Crude Workstation,Crude Workstation,"Can produce:  <sprite name=[mat processed] planks> Planks (<sprite name=grade0>), <sprite name=[mat processed] fabric> Fabric (<sprite name=grade0>), <sprite name=[mat processed] bricks> Bricks (<sprite name=grade0>), <sprite name=[mat processed] pipe> Pipes (<sprite name=grade0>). 
Can use: <sprite name=[water] storm water> Storm Water.",Industry,2,2,5 [Mat Raw] Wood,,,20,2,True,False,5,Any,Any,,,[Building Material] Planks T0,[Building Material] Fabric T0,[Building Material] Bricks T0,Pipe T0,
Distillery,Distillery,"Can produce:  <sprite name=[needs] ale> Ale (<sprite name=grade2>), <sprite name=[needs] incense> Incense (<sprite name=grade2>), <sprite name=[food processed] pickled goods> Pickled Goods (<sprite name=grade2>). 
Can use: <sprite name=[water] drizzle water> Drizzle Water.",Industry,3,3,2 [Mat Processed] Planks,2 [Mat Processed] Bricks,2 [Mat Processed] Fabric,50,5,False,False,10,Any,Any,,,[Needs Fullfilment] Ale T2,[Needs Fullfilment] Incense T2,[Food Processed] Pickled Goods T2,,
Druid,Druid's Hut,"Can produce:  <sprite name=[crafting] oil> Oil (<sprite name=grade3>), <sprite name=[needs] tea> Tea (<sprite name=grade2>), <sprite name=[needs] coats> Coats (<sprite name=grade1>). 
Can use: <sprite name=[water] clearance water> Clearance Water.",Industry,2,2,5 [Mat Processed] Planks,2 [Mat Processed] Fabric,,30,5,False,False,10,Any,Any,Any,,Oil T3,[Needs Fullfilment] Tea T2,[Needs Fullfilment] Coats T1,,
